idx,headline,summary,labels
0,#metoo floods social media with stories of harassment and assault,"many women, as well as men, are using the hashtag to show the prevalence of sexual misconduct in the wake of the harvey weinstein accusations.",7
1,"$1.3 million homes in oregon, michigan and california",a dwell-style home in portland; a 1929 tudor house in birmingham; and a 1948 live-work building in inglewood.,8
2,$1.3 million for that?,"whatever paul manafort may or may not have done, he robbed us of a “lavish lifestyle” fantasy.",8
3,"$1.5 million homes in california, montana and vermont","a floor-through condominium in san francisco, a glass-and-stone home in missoula and a reconstructed 1789 house in tunbridge.",8
4,"$1.5 million homes in rhode island, california and georgia","an 18th-century farmhouse outside newport, a houseboat in sausalito and a modern home in atlanta.",5
5,"$2 million homes in kentucky, washington and connecticut","a brick house surrounded by horse farms in goshen, a waterfront home on bainbridge island and a cedar-shake house in litchfield county.",5
6,"$2.4 million homes in florida, rhode island and colorado","a beachfront townhouse on siesta key, a shingled home near the bay in bristol and a tudor-style house in a leafy denver enclave.",5
7,"$2.5 million homes in connecticut, california and colorado","a restored 1845 greek revival house in lakeville, a hillside home in los angeles and 1940 modernist house in denver.",8
8,"$250 for dinner, tradition not included, at vespertin","at this otherworldly los angeles-area restaurant, the chef jordan kahn has stirred up a big buzz with food that claims to have no roots in the past.",5
9,$300 billion war beneath the street: fighting to replace america’s water pip,"two powerful industries, plastic and iron, are locked a lobbying war over the estimated $300 billion that local governments will spend on water pipes over the next decade.",5
10,"$400,000 homes in new york, missouri and main","a high-style farmhouse in gallatin, a renovated 1892 home in kansas city and an 1827 colonial outside of portland.",8
11,$8 million to aid poor north koreans? south korea and japan disagre,"illustrating a split in their approach to the north, the two american allies differ on seoul’s plan to provide humanitarian help through united nations agencies.",5
12,"$800,000 homes in idaho, new york and michigan","a 1925 bungalow in boise, a modern house in hillsdale and a victorian home in traverse city.",5
13,1 million lose power after fierce storm hits northeast,more than a million homes and businesses lost power on sunday and monday from new jersey to maine after a storm brought high winds and heavy rain.,7
14,"1,000 miles, four families, one christmas tre","a balsam fir tree’s journey from a farm in nova scotia to a living room in ridgewood, queens, reveals the hard work necessary to deliver holiday cheer.",2
15,10 additional penn state students charged in hazing death of pledg,"in announcing the new charges, the authorities said that the student, tim piazza, had been given at least 18 drinks in 82 minutes at the beta theta pi party in february.",7
16,10 arrested in death of l.s.u. student after fraternity drinking ritu,one student was charged with negligent homicide and nine current or former students were charged with hazing after a fraternity pledge died of alcohol poisoning.,7
17,10 cultural battles that ruled 2017,trump versus hollywood. echoes of the confederacy. taylor swift and the alt-right. here’s a not-so-nostalgic look back at some of the year’s fiercest fights.,5
18,"10 days at the salzburg festival, music’s disneyland","the venerable festival, the center of classical music each summer, ends its first season under markus hinterhäuser, viewed as a change agent.",5
19,10 early surprises in the n.b.a.,"the pistons and magic are good, the cavs are not, and blake griffin is shooting 3s.",5
20,10 great last-minute vacations this summ,"cruises, biking trips, guided hikes and culinary tours are available in destinations like france, peru, cuba and the adriatic.",2
21,10 hot toys that changed the way people play,"hot toys are often like comets, lighting up the sky and fading quickly from view. but some have been more enduring. here are some of the biggest hits.",5
23,"10 north koreans detained in china; ‘we fear the worst,’ activist say","the group, which includes a 3-year-old, was trying to defect to south korea but now faces being deported to their totalitarian homeland.",7
24,"10 places that define new york city, reimagin","grand central would have been demolished. washington square park was going to be a freeway. a tour of new york landmarks, and a meditation on what could have been.",5
25,10 shows we’ll be talking about in septemb,"summer is unofficially over, but that’s good news in tv land, as a slew of promising new shows and beloved favorites come back this month.",5
26,10 things my chronic illness taught my children,"i worried that my rheumatoid arthritis would harm them. instead, it has helped them grow.",4
28,10 things to do now in nyc,"i’s a big city, with plenty to do, see, hear and watch. here’s a sampling of cultural highlights this weekend and over the week ahead.",5
30,10 ways to love bett,this year’s most-read modern love columns delivered unexpected kernels of wisdom.,6
31,10 ways to teach argument-writing with the new york tim,ideas for helping students both read opinion-writing closely and write their own effective pieces on the issues that matter to them.,5
32,"10 weeks, 10 hurricanes, and a 124-year-old record is match","with tropical storm ophelia’s transition to hurricane ophelia, 2017 became the first year since 1893 in which 10 atlantic storms in a row reached hurricane strength.",1
33,10 of our best reads on zimbabw,the southern african nation is at a pivotal moment after the reported resignation of robert mugabe as president.,5
34,100 notable books of 2017,"the year’s notable fiction, poetry and nonfiction, selected by the editors of the new york times book review.",5
35,11 great titles expiring from netflix in decemb,"from “young frankenstein” to “amores perros,” these movies and tv series will disappear over the next several weeks, some in just a few days.",7
37,11 powerful women we met around the world in 2017,"a warlord, a novelist, a diplomat, a centenarian and other exceptional women our overseas correspondents wrote about in 2017.",4
38,11 shows we’ll be talking about in decemb,this used to be the time of year when producers coasted through the holidays. no longer.,5
39,11 shows we’ll be watching in august,"august means vacation. it also means fewer new shows to watch on that vacation. and yet, we’ve still found a bunch of debuts and new seasons to get excited about this month.",5
40,11 of our best weekend read,"from “the lion king” to marathon thanksgiving preparations, here’s a look at some of the times’s best recent journalism.",5
41,11 of our best weekend read,"it’s the weekend, so get comfy and learn how to solve the times crossword (you are smart enough), prepare for sunday’s supermoon, or find out a little more about jay-z.",8
