idx,headline,summary,labels
0,#MeToo Floods Social Media With Stories of Harassment and Assault,"Many women, as well as men, are using the hashtag to show the prevalence of sexual misconduct in the wake of the Harvey Weinstein accusations.",7
1,"$1.3 Million Homes in Oregon, Michigan and California",A Dwell-style home in Portland; a 1929 Tudor house in Birmingham; and a 1948 live-work building in Inglewood.,8
2,$1.3 Million for That?,"Whatever Paul Manafort may or may not have done, he robbed us of a “lavish lifestyle” fantasy.",8
3,"$1.5 Million Homes in California, Montana and Vermont","A floor-through condominium in San Francisco, a glass-and-stone home in Missoula and a reconstructed 1789 house in Tunbridge.",8
4,"$1.5 Million Homes in Rhode Island, California and Georgia","An 18th-century farmhouse outside Newport, a houseboat in Sausalito and a modern home in Atlanta.",5
5,"$2 Million Homes in Kentucky, Washington and Connecticut","A brick house surrounded by horse farms in Goshen, a waterfront home on Bainbridge Island and a cedar-shake house in Litchfield County.",5
6,"$2.4 Million Homes in Florida, Rhode Island and Colorado","A beachfront townhouse on Siesta Key, a shingled home near the bay in Bristol and a Tudor-style house in a leafy Denver enclave.",5
7,"$2.5 Million Homes in Connecticut, California and Colorado","A restored 1845 Greek Revival house in Lakeville, a hillside home in Los Angeles and 1940 modernist house in Denver.",8
8,"$250 for Dinner, Tradition Not Included, at Vespertine","At this otherworldly Los Angeles-area restaurant, the chef Jordan Kahn has stirred up a big buzz with food that claims to have no roots in the past.",5
9,$300 Billion War Beneath the Street: Fighting to Replace America’s Water Pipes,"Two powerful industries, plastic and iron, are locked a lobbying war over the estimated $300 billion that local governments will spend on water pipes over the next decade.",5
10,"$400,000 Homes in New York, Missouri and Maine","A high-style farmhouse in Gallatin, a renovated 1892 home in Kansas City and an 1827 colonial outside of Portland.",8
11,$8 Million to Aid Poor North Koreans? South Korea and Japan Disagree,"Illustrating a split in their approach to the North, the two American allies differ on Seoul’s plan to provide humanitarian help through United Nations agencies.",5
12,"$800,000 Homes in Idaho, New York and Michigan","A 1925 bungalow in Boise, a modern house in Hillsdale and a Victorian home in Traverse City.",5
13,1 Million Lose Power After Fierce Storm Hits Northeast,More than a million homes and businesses lost power on Sunday and Monday from New Jersey to Maine after a storm brought high winds and heavy rain.,7
14,"1,000 Miles, Four Families, One Christmas Tree","A balsam fir tree’s journey from a farm in Nova Scotia to a living room in Ridgewood, Queens, reveals the hard work necessary to deliver holiday cheer.",2
15,10 Additional Penn State Students Charged in Hazing Death of Pledge,"In announcing the new charges, the authorities said that the student, Tim Piazza, had been given at least 18 drinks in 82 minutes at the Beta Theta Pi party in February.",7
16,10 Arrested in Death of L.S.U. Student After Fraternity Drinking Ritual,One student was charged with negligent homicide and nine current or former students were charged with hazing after a fraternity pledge died of alcohol poisoning.,7
17,10 Cultural Battles That Ruled 2017,Trump versus Hollywood. Echoes of the Confederacy. Taylor Swift and the alt-right. Here’s a not-so-nostalgic look back at some of the year’s fiercest fights.,5
18,"10 Days at the Salzburg Festival, Music’s Disneyland","The venerable festival, the center of classical music each summer, ends its first season under Markus Hinterhäuser, viewed as a change agent.",5
19,10 Early Surprises in the N.B.A.,"The Pistons and Magic are good, the Cavs are not, and Blake Griffin is shooting 3s.",5
20,10 Great Last-Minute Vacations This Summer,"Cruises, biking trips, guided hikes and culinary tours are available in destinations like France, Peru, Cuba and the Adriatic.",2
21,10 Hot Toys That Changed the Way People Play,"Hot toys are often like comets, lighting up the sky and fading quickly from view. But some have been more enduring. Here are some of the biggest hits.",5
23,"10 North Koreans Detained in China; ‘We Fear the Worst,’ Activist Says","The group, which includes a 3-year-old, was trying to defect to South Korea but now faces being deported to their totalitarian homeland.",7
24,"10 Places That Define New York City, Reimagined","Grand Central would have been demolished. Washington Square Park was going to be a freeway. A tour of New York landmarks, and a meditation on what could have been.",5
25,10 Shows We’ll Be Talking About in September,"Summer is unofficially over, but that’s good news in TV land, as a slew of promising new shows and beloved favorites come back this month.",5
26,10 Things My Chronic Illness Taught My Children,"I worried that my rheumatoid arthritis would harm them. Instead, it has helped them grow.",4
28,10 Things to Do Now in NYC,"I’s a big city, with plenty to do, see, hear and watch. Here’s a sampling of cultural highlights this weekend and over the week ahead.",5
30,10 Ways to Love Better,This year’s most-read Modern Love columns delivered unexpected kernels of wisdom.,6
31,10 Ways to Teach Argument-Writing With The New York Times,Ideas for helping students both read opinion-writing closely and write their own effective pieces on the issues that matter to them.,5
32,"10 Weeks, 10 Hurricanes, and a 124-Year-Old Record Is Matched","With Tropical Storm Ophelia’s transition to Hurricane Ophelia, 2017 became the first year since 1893 in which 10 Atlantic storms in a row reached hurricane strength.",1
33,10 of Our Best Reads on Zimbabwe,The southern African nation is at a pivotal moment after the reported resignation of Robert Mugabe as president.,5
34,100 Notable Books of 2017,"The year’s notable fiction, poetry and nonfiction, selected by the editors of The New York Times Book Review.",5
35,11 Great Titles Expiring From Netflix in December,"From “Young Frankenstein” to “Amores Perros,” these movies and TV series will disappear over the next several weeks, some in just a few days.",7
37,11 Powerful Women We Met Around the World in 2017,"A warlord, a novelist, a diplomat, a centenarian and other exceptional women our overseas correspondents wrote about in 2017.",4
